scenario_family,instance,scale,customers,vehicle_pairs,trial_count,status,elapsed_seconds,offline_objective,mean_actual_cost,worst_actual_cost,average_failed_customers,cost_std,average_online_replanning_seconds,worst_online_replanning_seconds
alpha,medium_100c_7v_seed1,medium,100,7,30,OK,1400.0,277.01513400666903,277.01513400666903,277.01513400666903,0.0,0.0,0.0,0.0
alpha,medium_100c_7v_seed2,medium,100,7,30,OK,1286.9,292.16274450035957,292.16274450035945,292.16274450035945,0.0,0.0,0.0,0.0
alpha,medium_100c_7v_seed3,medium,100,7,30,OK,1159.5,283.24135806475334,283.24135806475334,283.24135806475334,0.0,0.0,0.0,0.0
alpha,medium_30c_2v_seed1,medium,30,2,30,OK,282.2,80.99656224904183,80.99656224904183,80.99656224904183,0.0,0.0,0.0,0.0
alpha,medium_30c_2v_seed2,medium,30,2,30,OK,211.9,84.24858505588892,84.24858505588892,84.24858505588892,0.0,0.0,0.0,0.0
alpha,medium_30c_2v_seed3,medium,30,2,30,OK,236.2,81.0778753238983,81.07787532389828,81.07787532389828,0.0,0.0,0.0,0.0
alpha,medium_40c_3v_seed1,medium,40,3,30,OK,260.3,83.895898572155,83.895898572155,83.895898572155,0.0,0.0,0.0,0.0
alpha,medium_40c_3v_seed2,medium,40,3,30,OK,1415.4,74.30339604663592,74.30339604663592,74.30339604663592,0.0,0.0,0.0,0.0
alpha,medium_40c_3v_seed3,medium,40,3,30,OK,532.4,76.38202623190976,76.38202623190976,76.38202623190976,0.0,0.0,0.0,0.0
alpha,medium_50c_3v_seed1,medium,50,3,30,OK,650.2,121.86392393214179,121.86392393214179,121.86392393214179,0.0,0.0,0.0,0.0
alpha,medium_50c_3v_seed2,medium,50,3,30,OK,793.2,124.05975912130758,124.05975912130758,124.0597591213076,0.0,1.4210854715202004e-14,0.0,0.0
alpha,medium_50c_3v_seed3,medium,50,3,30,OK,572.4,121.33744460022571,121.33744460022568,121.3374446002257,0.0,1.4210854715202004e-14,0.0,0.0
alpha,medium_60c_4v_seed1,medium,60,4,30,OK,652.3,164.6542645254218,164.6542645254218,164.6542645254218,0.0,0.0,0.0,0.0
alpha,medium_60c_4v_seed2,medium,60,4,30,OK,4574.2,129.01921277323837,129.01921277323837,129.01921277323837,0.0,0.0,0.0,0.0
alpha,medium_60c_4v_seed3,medium,60,4,30,OK,1174.2,122.72888817209775,122.72888817209777,122.72888817209777,0.0,0.0,0.0,0.0
alpha,medium_80c_5v_seed1,medium,80,5,30,OK,1247.2,164.2566302400465,164.2566302400465,164.2566302400465,0.0,0.0,0.0,0.0
alpha,medium_80c_5v_seed2,medium,80,5,30,OK,981.0,196.0067650306227,196.0067650306227,196.0067650306227,0.0,0.0,0.0,0.0
alpha,medium_80c_5v_seed3,medium,80,5,30,OK,1608.7,192.48967161723598,192.48967161723598,192.48967161723598,0.0,0.0,0.0,0.0
beta,medium_100c_7v_seed1,medium,100,7,30,OK,1145.1,778.9585248612575,766.8388353710033,791.7329794148066,28.7,19.814939978574426,7.7080910767040525,9.827106200391427
beta,medium_100c_7v_seed2,medium,100,7,30,OK,1744.4,819.2465302321646,815.4087017747007,817.8142502200211,28.933333333333334,4.755852796826564,9.100391769902005,9.95525459991768
